Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-AAXXX-Admin_RA-run_1-2014_Aug_21_0915.csv,Time:,2014_Aug_21_0915,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00496920909291,NA,NA,NA
NA,NA,2,19.6561386535,19.6611078625,NA,NA
0,0,3,19.6774525186,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1007174_orig.bmp
1,0,3,22.6658263852,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1920x1200.bmp
2,0,3,25.6875442384,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/20050613-019-poppy.bmp
3,0,3,28.6757045644,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2010-poinsettias58.bmp
4,0,3,31.663934455,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2061950.bmp
5,0,3,34.6691449607,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/31237-flowers-close-up.bmp
6,0,3,37.6738739309,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/3673762322_203cb0eb03_o.bmp
7,0,3,40.6789418862,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/46631679.bmp
8,0,3,43.667285247,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/4977034-colourful-summer-flowers-close-up.bmp
9,0,3,46.6722827823,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/5720_1280x800.bmp
10,0,3,49.6772632115,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7119_1280x800.bmp
11,0,3,52.665608568,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7602895248_460392e700_h.bmp
12,0,3,55.670551649,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/a-rose-of-unique-color-flowers-2791564-1534-1152.bmp
13,0,3,58.6755722775,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/beautiful-blooming-unique-flower-wallpaper.bmp
14,0,3,61.6638144275,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/bigpreview_PurpleFlowersOfCrocus.bmp
15,0,3,64.7028581531,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Bird_of_Paradise_flower.bmp
16,0,3,67.6738029408,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/birds-paradise-flower-3.bmp
17,0,3,70.6789153718,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue-Lace-Flowers.bmp
18,0,3,73.6669505384,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue_Hydrangea_Flower_Close-up_Photography.bmp
19,0,3,76.6722246217,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/BlueFlowersCloseUpWallpapers8.bmp
20,0,3,79.6771066911,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/CaliforniaPoppy.bmp
21,0,3,82.6653057908,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Calla_lily.bmp
22,0,3,85.6704148006,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Caltha_palustris_close-up_flower.bmp
23,0,3,88.6754117657,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Chocolate_Cosmos_by_WestLothian.bmp
24,0,3,91.6804395217,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/chocolatecosmosinbloom.bmp
25,0,3,94.668773189,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/cosmos_4.bmp
26,0,3,97.6736033701,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Cosmos_atrosanguineus_01.bmp
27,0,3,100.678667049,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/CulturalBias-FALL.bmp
28,0,3,103.683703358,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Dahlias-Flowers-Close-Up-Sunny-.bmp
29,0,3,106.671879364,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Daisy-purple-picture.bmp
30,0,3,109.660169126,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/dandelion-flowers-close-up_00065297.bmp
31,0,3,112.682007007,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Dark_pink_cosmos_flower.bmp
32,0,3,115.670236898,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/DSCN55511-1024x768.bmp
33,0,3,118.675236999,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Duct-Flower-20167.bmp
34,0,3,121.66352391,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/File-unidentified-pink-flower-closeup-2048px-jpg-wikipedia-the-free.bmp
35,0,3,124.668566206,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-bouquet-00054.bmp
36,0,3,127.673493321,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-close-to-the-camera.bmp
37,0,3,130.661862056,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-close-up_1024x768_15729.bmp
38,0,3,133.666817681,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower_41.bmp
39,0,3,136.68842292,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Flower_Cosmos_sulphureus.bmp
40,0,3,139.676769131,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper.bmp
41,0,3,142.665170368,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper_1920x1200_86249.bmp
42,0,3,145.670065837,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31182-flowers-close-up.bmp
43,0,3,148.67508618,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31246-flowers-close-up.bmp
44,0,3,151.663488272,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/green-flower-flowers-free-screensavers-162430.bmp
45,0,3,154.701666431,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Green_Flowers_by_blacksunstar.bmp
46,0,3,157.673284057,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_Blauer_Prinz_2.bmp
47,0,3,160.661604039,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_petals_-_cropped.bmp
48,0,3,163.666634932,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Lily-Cole-Unique-Flower-wallpaper.bmp
49,0,3,166.688378444,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/marigold-flower-close-up.bmp
50,0,3,169.659887446,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/mauve-hydrangea-flowers.bmp
