Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-RTK-Admin_RA-run_1-2014_Aug_05_0826.csv,Time:,2014_Aug_05_0826,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
40,0,3,147.112814391,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper.bmp
41,0,3,150.170707319,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper_1920x1200_86249.bmp
42,0,3,153.076093289,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31182-flowers-close-up.bmp
43,0,3,156.08160952,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31246-flowers-close-up.bmp
44,0,3,159.079815993,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/green-flower-flowers-free-screensavers-162430.bmp
45,0,3,162.124166549,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Green_Flowers_by_blacksunstar.bmp
46,0,3,165.082269444,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_Blauer_Prinz_2.bmp
47,0,3,168.093506115,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_petals_-_cropped.bmp
48,0,3,171.084602275,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Lily-Cole-Unique-Flower-wallpaper.bmp
49,0,3,174.120513503,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/marigold-flower-close-up.bmp
50,0,3,177.081691277,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/mauve-hydrangea-flowers.bmp
51,0,3,180.092293689,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Nature_Flowers_Branch_of_pink_flowers_036768_.bmp
52,0,3,183.169572617,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/NE-England-Northumberland-Cherry-Blossom-Flower-01.bmp
53,0,3,186.313670679,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Nelumno_nucifera_open_flower_-_botanic_garden_adelaide2.bmp
54,0,3,189.080126524,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/opening-night-hybrid-tea-rose-flower-close-up_medium.bmp
55,0,3,192.098829869,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange-Rose-Flower-1280x720.bmp
56,0,3,195.103549791,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange_Cosmos_sulphureus.bmp
57,0,3,198.126531643,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange_Flowers_by_silent_phoenix4.bmp
58,0,3,201.090084043,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Oriental_poppy.bmp
59,0,3,204.082175221,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/P1210967.bmp
