Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-RAYUS-Admin_RTK-run_1-2014_Sep_05_0943.csv,Time:,2014_Sep_05_0943,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
40,0,3,139.402574962,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper.bmp
41,0,3,142.391020104,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper_1920x1200_86249.bmp
42,0,3,145.396680214,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31182-flowers-close-up.bmp
43,0,3,148.401003486,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/FreeGreatPicture.com-31246-flowers-close-up.bmp
44,0,3,151.389241929,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/green-flower-flowers-free-screensavers-162430.bmp
45,0,3,154.410844887,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Green_Flowers_by_blacksunstar.bmp
46,0,3,157.399282901,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_Blauer_Prinz_2.bmp
47,0,3,160.387313791,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Hydrangea_macrophylla_petals_-_cropped.bmp
48,0,3,163.392722727,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Lily-Cole-Unique-Flower-wallpaper.bmp
49,0,3,166.41412811,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/marigold-flower-close-up.bmp
50,0,3,169.402568975,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/mauve-hydrangea-flowers.bmp
51,0,3,172.407459883,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Nature_Flowers_Branch_of_pink_flowers_036768_.bmp
52,0,3,175.395781291,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/NE-England-Northumberland-Cherry-Blossom-Flower-01.bmp
53,0,3,178.400852667,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Nelumno_nucifera_open_flower_-_botanic_garden_adelaide2.bmp
54,0,3,181.388965381,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/opening-night-hybrid-tea-rose-flower-close-up_medium.bmp
55,0,3,184.393934977,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange-Rose-Flower-1280x720.bmp
56,0,3,187.398992098,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange_Cosmos_sulphureus.bmp
57,0,3,190.404083147,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Orange_Flowers_by_silent_phoenix4.bmp
58,0,3,193.392315033,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Oriental_poppy.bmp
59,0,3,196.397283203,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/P1210967.bmp
60,0,3,199.387223129,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pale_yellow_flower_close_up.bmp
61,0,3,202.390954816,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/PASSION-VINE-flower.bmp
62,0,3,205.412149794,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/photo_9908927_148597_24283624_ap.bmp
63,0,3,208.400697002,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pink-flowers-close-up_00433632.bmp
64,0,3,211.390026527,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Pink-Rose-hd-wallpaper-Flower.bmp
65,0,3,214.39378872,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Pink-tulip-flower-close-up-photography_1280x800.bmp
66,0,3,217.39887093,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pink_gladiolus_flowers_close-up.bmp
67,0,3,220.403834824,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Prunus_serrulata_-_flowers_close-up.bmp
68,0,3,223.39219415,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/purple-strange-flowers-2359.bmp
69,0,3,226.397205085,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/PurpleFlowersCloseUpiPadWallpaperHD.bmp
70,0,3,229.40206007,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(1).bmp
71,0,3,232.390370644,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(10).bmp
72,0,3,235.395504458,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(128).bmp
73,0,3,238.400493155,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(129).bmp
74,0,3,241.388676004,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(143).bmp
75,0,3,244.394081519,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(155).bmp
76,0,3,247.415391392,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(163).bmp
77,0,3,250.403727055,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(18).bmp
78,0,3,253.392037059,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(19).bmp
79,0,3,256.430421347,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(20).bmp
80,0,3,259.401936621,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(22).bmp
81,0,3,262.390116619,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(23).bmp
82,0,3,265.39556661,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(24).bmp
83,0,3,268.400324945,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(25).bmp
84,0,3,271.405195611,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(27).bmp
85,0,3,274.393468552,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(28).bmp
86,0,3,277.398437577,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(36).bmp
87,0,3,280.386704816,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(37).bmp
88,0,3,283.391747397,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(41).bmp
89,0,3,286.396892614,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(5).bmp
90,0,3,289.401835981,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(94).bmp
91,0,3,292.389915053,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Starr_030807-0081_Phaeomeria_magnifica.bmp
92,0,3,295.395249292,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/unique-beautiful-flowers-nature-hd-download-wallpaper-for-pc-free.bmp
93,0,3,298.400095154,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flower-Of-The-World.bmp
94,0,3,301.421634534,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Of-The-World.bmp
95,0,3,304.393447739,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Picture.bmp
96,0,3,307.398281912,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Wallpaper.bmp
97,0,3,310.403905244,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/wallpaper-5546.bmp
98,0,3,313.39168439,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Wallpaper-cherry-blossom-flower-pink-branch-twig-close-up-pictures.bmp
99,0,3,316.396561612,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/White_and_pink_tulips_with_blue_sky_background.bmp
