"Group","ImageSet","File","Category","allsubjects_valence_mean","allsubjects_valence_sd","allsubjects_arousal_mean","allsubjects_arousal_sd","allsubjects_craving_mean","allsubjects_craving_sd","allsubjects_typicality_mean","allsubjects_typicality_sd","allsubjects_FractionNeither","allsubjects_FractionMeth","allsubjects_FractionOpioid","allsubjects_FractionBoth","allsubjects_MethToOpioid","injectionusers_valence_mean","injectionusers_valence_sd","injectionusers_arousal_mean","injectionusers_arousal_sd","injectionusers_craving_mean","injectionusers_craving_sd","injectionusers_typicality_mean","injectionusers_typicality_sd","injectionusers_FractionNeither","injectionusers_FractionMeth","injectionusers_FractionOpioid","injectionusers_FractionBoth","injectionusers_MethToOpioid","noninjectionusers_valence_mean","noninjectionusers_valence_sd","noninjectionusers_arousal_mean","noninjectionusers_arousal_sd","noninjectionusers_craving_mean","noninjectionusers_craving_sd","noninjectionusers_typicality_mean","noninjectionusers_typicality_sd","noninjectionusers_FractionNeither","noninjectionusers_FractionMeth","noninjectionusers_FractionOpioid","noninjectionusers_FractionBoth","noninjectionusers_MethToOpioid","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd","p_cravingdelta_injectionVnon"
"control Slide011.jpeg","control","Slide011.jpeg","control_objects","4.93","1.654","2.46","1.95","11.29","22.26","12.43","22.28","0.96429","0.00000","0.03571","0.00000"," 0.03571","4.86","1.905","2.29","1.74"," 8.43","17.81"," 9.76","17.92","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","0.378","3.00","2.58","19.86","32.53","20.43","32.62","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.043","0.107","0.176","0.2510","0.279","0.3430","0.40401"
"control Slide012.jpeg","control","Slide012.jpeg","control_objects","5.25","1.818","2.39","1.77","15.46","29.28"," 9.43","17.38","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","2.039","2.38","1.80","10.95","25.20"," 6.95","14.95","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","0.756","2.43","1.81","29.00","38.17","16.86","23.00","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.059","0.160","0.008","0.0610","0.234","0.3580","0.27683"
"control Slide013.jpeg","control","Slide013.jpeg","control_objects","4.79","1.548","2.29","1.98","10.25","22.02","14.00","25.01","0.92857","0.00000","0.07143","0.00000"," 0.07143","4.67","1.770","2.05","1.75"," 5.48","12.90"," 9.14","14.56","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","0.378","3.00","2.58","24.57","36.18","28.57","42.17","0.71429","0.00000","0.28571","0.0000"," 0.28571","0.600","0.134","0.154","0.1170","0.402","0.2560","0.21670"
"control Slide014.jpeg","control","Slide014.jpeg","control_objects","5.04","1.503","2.11","1.97","13.86","27.67","10.54","21.89","0.96429","0.00000","0.03571","0.00000"," 0.03571","4.95","1.687","1.95","1.66","13.71","26.26"," 9.33","17.69","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.57","2.82","14.29","33.87","14.14","33.05","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.028","0.071","0.080","0.1750","0.543","0.1210","0.96844"
"control Slide015.jpeg","control","Slide015.jpeg","control_objects","4.74","1.095","2.48","1.87","12.78","24.83"," 9.67","17.58","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.65","1.268","2.45","1.93","13.25","27.26"," 9.10","17.89","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.57","1.81","11.43","17.78","11.29","17.90","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.000","0.000","0.000","0.0000","0.527","0.1970","0.84337"
"control Slide016.jpeg","control","Slide016.jpeg","control_objects","5.15","0.949","2.93","2.02","12.37","21.58","10.04","19.80","0.96296","0.03704","0.00000","0.00000","-0.03704","5.10","1.021","2.60","1.88","11.70","20.08"," 8.85","17.94","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.86","2.27","14.29","27.10","13.43","25.71","0.85714","0.14286","0.00000","0.0000","-0.14286","0.014","0.067","0.099","0.2740","0.062","0.2010","0.82269"
"control Slide017.jpeg","control","Slide017.jpeg","control_objects","4.85","1.064","2.48","1.87","11.19","23.45","12.15","23.84","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","1.240","2.50","1.91","13.25","26.81","14.50","27.16","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.43","1.90"," 5.29"," 7.13"," 5.43"," 7.52","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.062","0.213","0.054","0.1820","0.084","0.2350","0.23736"
"control Slide018.jpeg","control","Slide018.jpeg","control_objects","5.00","1.785","2.36","2.11","10.71","19.55","10.54","18.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.90","1.609","2.05","1.83","11.29","20.34","11.38","19.50","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","2.360","3.29","2.75"," 9.00","18.32"," 8.00","18.58","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.181","0.350","0.148","0.2950","0.219","0.3700","0.78609"
"control Slide019.jpeg","control","Slide019.jpeg","control_objects","4.79","1.101","2.46","2.05","13.04","24.56","13.79","24.52","0.85714","0.00000","0.07143","0.07143"," 0.07143","4.67","1.238","2.24","1.73","12.00","22.62","12.86","21.71","0.90476","0.00000","0.04762","0.04762"," 0.04762","5.14","0.378","3.14","2.85","16.14","31.52","16.57","33.51","0.71429","0.00000","0.14286","0.1429"," 0.14286","0.368","0.262","0.209","0.2070","0.858","0.0960","0.75611"
"control Slide020.jpeg","control","Slide020.jpeg","control_objects","4.85","1.134","2.48","1.85"," 8.26","15.78"," 8.11","15.60","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","1.322","2.55","1.88"," 9.20","18.07"," 9.15","17.87","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.29","1.89"," 5.57"," 5.71"," 5.14"," 5.52","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.132","0.302","0.147","0.2760","0.219","0.3520","0.43587"
