"Group","ImageSet","File","Category","allsubjects_valence_mean","allsubjects_valence_sd","allsubjects_arousal_mean","allsubjects_arousal_sd","allsubjects_craving_mean","allsubjects_craving_sd","allsubjects_typicality_mean","allsubjects_typicality_sd","allsubjects_FractionNeither","allsubjects_FractionMeth","allsubjects_FractionOpioid","allsubjects_FractionBoth","allsubjects_MethToOpioid","injectionusers_valence_mean","injectionusers_valence_sd","injectionusers_arousal_mean","injectionusers_arousal_sd","injectionusers_craving_mean","injectionusers_craving_sd","injectionusers_typicality_mean","injectionusers_typicality_sd","injectionusers_FractionNeither","injectionusers_FractionMeth","injectionusers_FractionOpioid","injectionusers_FractionBoth","injectionusers_MethToOpioid","noninjectionusers_valence_mean","noninjectionusers_valence_sd","noninjectionusers_arousal_mean","noninjectionusers_arousal_sd","noninjectionusers_craving_mean","noninjectionusers_craving_sd","noninjectionusers_typicality_mean","noninjectionusers_typicality_sd","noninjectionusers_FractionNeither","noninjectionusers_FractionMeth","noninjectionusers_FractionOpioid","noninjectionusers_FractionBoth","noninjectionusers_MethToOpioid","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd","p_cravingdelta_injectionVnon"
"control Slide048.jpeg","control","Slide048.jpeg","control_tool","5.00","1.466","2.21","1.75"," 7.57","15.84"," 8.04","15.49","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.86","1.558","2.14","1.77"," 7.10","15.43"," 7.67","14.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.43","1.81"," 9.00","18.24"," 9.14","18.13","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.099","0.260","0.064","0.1980","0.040","0.1510","0.80947"
"control Slide049.jpeg","control","Slide049.jpeg","control_tool","5.21","2.217","2.43","1.91","13.18","24.22","10.61","17.52","0.96429","0.00000","0.00000","0.03571"," 0.00000","5.48","2.182","2.52","2.06","13.95","26.35","12.67","19.65","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.43","2.299","2.14","1.46","10.86","17.82"," 4.43"," 5.86","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.038","0.145","0.026","0.1320","0.522","0.0970","0.73141"
"control Slide050.jpeg","control","Slide050.jpeg","control_tool","4.89","0.847","2.37","1.90"," 7.33","15.77","12.19","18.84","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.85","0.988","2.45","1.93"," 8.20","18.08","14.80","21.17","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 4.86"," 5.79"," 4.71"," 5.59","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.000","0.000","0.000","0.0000","0.446","0.1510","0.47383"
"control Slide051.jpeg","control","Slide051.jpeg","control_tool","5.07","1.562","2.39","1.81"," 5.89","13.07"," 7.32","15.45","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.10","1.814","2.38","1.86"," 7.10","14.91"," 9.38","17.41","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.43","1.81"," 2.29"," 2.87"," 1.14"," 2.04","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.789","0.241","0.124","0.1740","0.821","0.1180","0.17368"
"control Slide052.jpeg","control","Slide052.jpeg","control_tool","4.89","1.311","2.63","2.17"," 8.85","17.75","10.67","17.47","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.85","1.531","3.00","2.27","11.20","20.14","12.65","19.80","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.57","1.51"," 2.14"," 3.02"," 5.00"," 5.48","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.008","0.078","0.000","0.0050","0.478","0.0860","0.06458"
"control Slide053.jpeg","control","Slide053.jpeg","control_tool","4.79","1.893","2.29","1.86","12.00","24.17","12.79","24.31","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","2.063","2.10","1.81","12.67","26.27","14.19","26.22","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.86","2.04","10.00","17.98"," 8.57","18.46","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.017","0.053","0.086","0.2380","0.079","0.2090","0.76827"
"control Slide054.jpeg","control","Slide054.jpeg","control_tool","4.32","1.786","2.54","1.91"," 9.71","19.17"," 9.25","17.23","0.96429","0.03571","0.00000","0.00000","-0.03571","4.57","1.748","2.38","1.94","10.00","19.89"," 9.19","17.39","1.00000","0.00000","0.00000","0.00000"," 0.00000","3.57","1.813","3.00","1.91"," 8.86","18.24"," 9.43","18.10","0.85714","0.14286","0.00000","0.0000","-0.14286","0.028","0.134","0.018","0.1050","0.033","0.1510","0.89095"
"control Slide055.jpeg","control","Slide055.jpeg","control_tool","4.93","1.412","2.26","1.83","10.00","18.00"," 9.59","17.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.70","1.342","2.45","1.93"," 9.00","18.32"," 8.85","18.04","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.57","1.512","1.71","1.50","12.86","18.11","11.71","18.21","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.230","0.332","0.225","0.3380","0.463","0.2780","0.63847"
"control Slide056.jpeg","control","Slide056.jpeg","control_tool","4.85","1.350","2.26","1.83"," 6.33","16.03"," 7.48","15.70","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","1.576","2.45","1.93"," 7.15","18.46"," 9.00","18.00","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.71","1.50"," 4.00"," 5.13"," 3.14"," 3.48","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.087","0.162","0.331","0.1520","0.222","0.2230","0.49625"
"control Slide057.jpeg","control","Slide057.jpeg","control_tool","5.07","1.184","3.75","2.43","51.18","31.93","55.43","30.92","0.39286","0.53571","0.00000","0.07143","-0.53571","5.05","1.284","3.86","2.33","48.24","27.99","54.48","28.00","0.38095","0.57143","0.00000","0.04762","-0.57143","5.14","0.900","3.43","2.88","60.00","43.08","58.29","40.96","0.42857","0.42857","0.00000","0.1429","-0.42857","0.028","0.098","0.020","0.0740","0.984","0.0780","0.51844"
"control Slide058.jpeg","control","Slide058.jpeg","control_tool","4.86","1.649","2.21","1.89"," 7.39","15.92","14.18","21.12","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","1.703","2.19","1.94"," 7.76","17.68","13.67","21.72","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.43","1.512","2.29","1.89"," 6.29"," 9.84","15.71","20.75","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.363","0.463","0.108","0.1630","0.254","0.3930","0.78596"
"control Slide059.jpeg","control","Slide059.jpeg","control_tool","4.70","1.068","2.41","1.89"," 9.37","17.64"," 7.81","15.72","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.50","1.91","11.60","19.98"," 9.75","17.86","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 3.00"," 4.51"," 2.29"," 3.68","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.096","0.223","0.261","0.3510","0.040","0.1250","0.08503"
"control Slide060.jpeg","control","Slide060.jpeg","control_tool","5.07","1.864","2.29","1.70"," 7.14","14.85","13.36","18.86","0.96429","0.00000","0.00000","0.03571"," 0.00000","5.29","1.875","2.19","1.69"," 6.29","14.91","14.62","19.40","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.43","1.813","2.57","1.81"," 9.71","15.54"," 9.57","18.01","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.039","0.186","0.003","0.0170","0.871","0.3030","0.62078"
"control Slide061.jpeg","control","Slide061.jpeg","control_tool","4.89","1.311","2.96","2.01","10.81","19.32","16.22","25.19","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.70","1.342","3.00","2.05","11.10","20.13","17.35","27.60","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.86","2.04","10.00","18.23","13.00","17.92","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.065","0.184","0.087","0.2120","0.898","0.2570","0.89598"
"control Slide062.jpeg","control","Slide062.jpeg","control_tool","5.04","1.453","2.64","1.95","10.18","19.02","11.43","19.05","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","1.673","2.52","1.89","12.86","21.37","14.24","21.24","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","0.378","3.00","2.24"," 2.14"," 2.41"," 3.00"," 4.24","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.007","0.049","0.053","0.2150","0.046","0.1860","0.03469"
"control Slide063.jpeg","control","Slide063.jpeg","control_tool","4.81","0.786","2.70","1.96","11.33","19.52","18.67","23.01","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.75","0.910","2.70","1.95","11.00","20.39","18.70","23.71","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","12.29","18.25","18.57","22.68","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.014","0.069","0.003","0.0120","0.525","0.0970","0.87906"
"control Slide064.jpeg","control","Slide064.jpeg","control_tool","4.70","1.068","2.70","1.96","13.48","24.77","14.26","24.65","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.70","1.95","13.70","27.13","14.25","26.94","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","12.86","18.08","14.29","18.26","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.036","0.113","0.072","0.2160","0.062","0.1820","0.92764"
"control Slide065.jpeg","control","Slide065.jpeg","control_tool","4.74","1.095","2.26","1.83"," 7.26","15.64","10.30","17.62","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.65","1.268","2.40","1.96"," 8.55","18.00","11.80","19.91","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.86","1.46"," 3.57"," 3.64"," 6.00"," 7.77","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.022","0.102","0.034","0.1630","0.025","0.1260","0.25398"
"control Slide066.jpeg","control","Slide066.jpeg","control_tool","4.79","1.572","2.14","1.72"," 5.57","13.07"," 6.46","13.74","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","1.821","2.24","1.81"," 6.71","14.91"," 7.95","15.62","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.86","1.46"," 2.14"," 3.13"," 2.00"," 2.38","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.100","0.247","0.009","0.0290","0.542","0.1030","0.19906"
"control Slide067.jpeg","control","Slide067.jpeg","control_tool","4.70","1.068","2.52","1.95"," 6.96","15.73"," 7.15","15.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.65","1.98"," 8.35","18.06"," 8.60","17.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 3.00"," 3.92"," 3.00"," 5.13","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.015","0.039","0.153","0.2810","0.192","0.3550","0.22598"
"control Slide068.jpeg","control","Slide068.jpeg","control_tool","5.00","1.515","2.79","1.97","11.68","20.86","13.32","19.68","0.96429","0.03571","0.00000","0.00000","-0.03571","5.05","1.746","2.52","1.89","12.24","21.64","14.71","21.95","0.95238","0.04762","0.00000","0.00000","-0.04762","4.86","0.378","3.57","2.15","10.00","19.80"," 9.14","10.49","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.133","0.249","0.190","0.3840","0.540","0.0970","0.80491"
"control Slide069.jpeg","control","Slide069.jpeg","control_tool_hand_simple","4.86","1.627","2.25","1.97","13.86","27.64","10.93","22.00","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","1.821","2.05","1.72","13.19","26.55"," 9.38","17.56","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.86","2.67","15.86","32.90","15.57","33.40","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.022","0.067","0.082","0.1660","0.553","0.1210","0.85029"
"control Slide070.jpeg","control","Slide070.jpeg","control_tool_hand_simple","4.67","1.441","2.89","2.22","12.93","23.20","11.52","21.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.40","1.465","2.80","2.04","11.25","20.12"," 9.20","17.87","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","3.14","2.85","17.71","31.85","18.14","31.19","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.379","0.411","0.123","0.1530","0.258","0.2640","0.62892"
"control Slide071.jpeg","control","Slide071.jpeg","control_tool_hand_simple","4.85","0.770","2.56","1.93","10.26","19.39","11.11","19.26","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","0.894","2.65","1.98","10.80","20.17","11.15","20.09","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.29","1.89"," 8.71","18.33","11.00","18.14","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.016","0.064","0.105","0.2080","0.138","0.2600","0.80525"
"control Slide072.jpeg","control","Slide072.jpeg","control_tool_hand_simple","4.93","1.269","2.70","2.13","12.78","23.46","15.19","22.85","0.96296","0.03704","0.00000","0.00000","-0.03704","4.90","1.483","2.90","2.20","16.00","26.55","18.40","25.62","0.95000","0.05000","0.00000","0.00000","-0.05000","5.00","0.000","2.14","1.95"," 3.57"," 4.47"," 6.00"," 7.21","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.038","0.112","0.217","0.3340","0.133","0.2920","0.05659"
"control Slide073.jpeg","control","Slide073.jpeg","control_tool_hand_simple","4.89","1.343","2.32","1.81","12.68","19.37","11.57","19.54","0.96429","0.03571","0.00000","0.00000","-0.03571","4.86","1.558","2.29","1.85","12.86","20.43","11.29","20.65","0.95238","0.04762","0.00000","0.00000","-0.04762","5.00","0.000","2.43","1.81","12.14","17.26","12.43","17.17","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.037","0.094","0.160","0.2580","0.134","0.2440","0.92944"
"control Slide074.jpeg","control","Slide074.jpeg","control_tool_hand_simple","4.93","1.207","2.74","2.10","13.15","22.99","19.30","28.86","0.92593","0.00000","0.03704","0.03704"," 0.03704","4.80","1.322","2.45","1.93","10.40","20.32","18.50","28.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.57","2.51","21.00","29.75","21.57","31.29","0.71429","0.00000","0.14286","0.1429"," 0.14286","0.567","0.312","0.608","0.2880","0.142","0.2500","0.40749"
"control Slide075.jpeg","control","Slide075.jpeg","control_tool_hand_simple","4.61","1.750","2.21","1.95"," 7.43","18.67"," 9.57","19.52","0.96429","0.00000","0.00000","0.03571"," 0.00000","4.48","1.834","1.86","1.59"," 5.24","14.90"," 8.05","15.46","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","1.528","3.29","2.63","14.00","27.59","14.14","29.75","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.029","0.106","0.062","0.1370","0.174","0.3210","0.44808"
"control Slide076.jpeg","control","Slide076.jpeg","control_tool_hand_simple","4.79","1.371","2.46","1.88"," 9.68","17.81"," 9.07","17.36","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.81","1.537","2.48","1.94"," 9.33","18.15"," 8.43","17.54","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","0.756","2.43","1.81","10.71","18.09","11.00","18.04","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.018","0.085","0.061","0.1470","0.118","0.2580","0.86463"
"control Slide077.jpeg","control","Slide077.jpeg","control_tool_hand_simple","5.21","1.228","2.75","2.20","16.96","28.10","16.57","27.46","0.96429","0.00000","0.03571","0.00000"," 0.03571","5.19","1.365","2.62","2.16","15.33","26.86","14.67","25.49","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.14","2.48","21.86","33.34","22.29","34.32","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.367","0.259","0.157","0.1740","0.699","0.1940","0.65027"
"control Slide078.jpeg","control","Slide078.jpeg","control_tool_hand_simple","5.07","0.385","2.30","1.84","10.59","19.45","12.70","20.60","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.10","0.447","2.50","1.93","12.75","22.07","15.60","23.14","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.71","1.50"," 4.43"," 6.05"," 4.43"," 5.86","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.016","0.066","0.072","0.1680","0.533","0.1020","0.13889"
"control Slide079.jpeg","control","Slide079.jpeg","control_tool_hand_simple","4.44","1.251","2.44","1.87"," 8.96","18.58"," 9.56","18.15","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.65","1.089","2.55","1.88","10.05","21.17","10.55","20.53","1.00000","0.00000","0.00000","0.00000"," 0.00000","3.86","1.574","2.14","1.95"," 5.86"," 7.82"," 6.71"," 8.92","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.015","0.075","0.075","0.1800","0.550","0.1400","0.45957"
"control Slide080.jpeg","control","Slide080.jpeg","control_tool_hand_simple","5.07","1.562","2.36","2.04","11.11","23.31","13.50","24.35","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.10","1.814","2.38","2.13","13.24","26.49","16.24","27.43","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.29","1.89"," 4.71"," 6.55"," 5.29"," 7.41","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.019","0.079","0.092","0.1840","0.538","0.1060","0.18732"
"control Slide081.jpeg","control","Slide081.jpeg","control_tool_hand_simple","4.96","1.453","2.25","1.88","12.11","20.28","13.21","20.08","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.81","1.537","2.29","1.90","10.57","19.68","12.00","19.53","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.14","1.95","16.71","22.95","16.86","22.87","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.061","0.170","0.088","0.1790","0.101","0.2280","0.54117"
"control Slide082.jpeg","control","Slide082.jpeg","control_tool_hand_simple","4.82","1.634","2.14","1.80"," 8.64","16.63","10.04","18.04","0.96429","0.00000","0.00000","0.03571"," 0.00000","4.76","1.895","2.05","1.83"," 6.29","14.95"," 8.00","16.09","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.43","1.81","15.71","20.55","16.14","23.33","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.014","0.072","0.054","0.1430","0.542","0.1300","0.29464"
"control Slide083.jpeg","control","Slide083.jpeg","control_tool_hand_simple","4.85","1.350","2.56","1.93"," 7.85","16.21","11.26","19.27","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","1.576","2.70","1.95"," 8.55","18.02","11.15","20.07","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 5.86","10.17","11.57","18.27","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.038","0.169","0.043","0.1460","0.500","0.1460","0.63427"
"control Slide084.jpeg","control","Slide084.jpeg","control_tool_hand_simple","4.56","1.368","2.63","2.06","16.41","29.76","15.04","25.44","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.75","1.209","2.45","1.93","13.70","27.03","16.90","27.72","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.00","1.732","3.14","2.48","24.14","37.84"," 9.71","18.08","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.052","0.202","0.094","0.1880","0.488","0.0810","0.51960"
"control Slide085.jpeg","control","Slide085.jpeg","control_tool_hand_simple","4.64","1.545","2.39","1.87"," 6.79","15.44"," 7.71","15.23","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.52","1.778","2.10","1.73"," 5.52","14.81"," 7.05","14.60","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","3.29","2.14","10.57","17.87"," 9.71","18.08","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.042","0.156","0.045","0.1340","0.512","0.0980","0.51729"
"control Slide086.jpeg","control","Slide086.jpeg","control_tool_hand_simple","4.93","1.386","2.29","1.90","13.68","25.41","16.64","25.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.90","1.609","2.14","1.85","14.90","27.73","16.52","27.23","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","10.00","17.94","17.00","22.75","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.030","0.139","0.032","0.0890","0.541","0.1290","0.59666"
"control Slide087.jpeg","control","Slide087.jpeg","control_tool_hand_simple","4.96","0.759","2.93","2.15","41.81","31.41","42.00","30.71","0.62963","0.33333","0.00000","0.03704","-0.33333","5.00","0.324","2.80","1.96","42.70","32.30","43.30","30.77","0.65000","0.35000","0.00000","0.00000","-0.35000","4.86","1.464","3.29","2.75","39.29","31.00","38.29","32.65","0.57143","0.28571","0.00000","0.1429","-0.28571","0.015","0.097","0.061","0.2030","0.075","0.2410","0.80870"
"control Slide088.jpeg","control","Slide088.jpeg","control_tool_hand_simple","4.74","0.944","2.44","1.87"," 8.85","17.64"," 9.78","17.65","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.65","1.089","2.50","1.91"," 8.85","17.87"," 9.75","17.92","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.29","1.89"," 8.86","18.36"," 9.86","18.26","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.507","0.236","0.056","0.1080","0.859","0.0990","0.99931"
"control Slide089.jpeg","control","Slide089.jpeg","control_tool_hand_complex","4.85","0.818","2.33","1.82"," 7.70","15.86"," 7.19","15.68","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","0.951","2.50","1.91"," 8.75","18.08"," 8.75","17.94","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","1.86","1.57"," 4.71"," 6.42"," 2.71"," 3.82","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.244","0.244","0.359","0.1690","0.226","0.2060","0.40021"
"control Slide090.jpeg","control","Slide090.jpeg","control_tool_hand_complex","4.89","1.050","2.52","1.95","10.07","18.05","10.74","17.92","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.85","1.226","2.45","1.93"," 8.45","17.98"," 9.45","17.89","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","14.71","18.83","14.43","18.90","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.298","0.225","0.338","0.2030","0.532","0.3160","0.46098"
"control Slide091.jpeg","control","Slide091.jpeg","control_tool_hand_complex","5.11","1.771","2.14","1.80"," 5.50","11.81"," 7.96","15.56","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","2.056","2.14","1.80"," 5.76","13.31"," 7.10","14.86","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 4.71"," 6.05","10.57","18.51","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.140","0.232","0.298","0.1630","0.485","0.2690","0.77934"
"control Slide092.jpeg","control","Slide092.jpeg","control_tool_hand_complex","4.48","1.312","2.37","1.90"," 7.56","15.89"," 8.74","15.87","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.40","1.465","2.40","1.96"," 8.15","18.07"," 9.35","17.80","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","0.756","2.29","1.89"," 5.86"," 7.45"," 7.00"," 9.13","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.424","0.332","0.221","0.0900","0.498","0.2440","0.64568"
"control Slide093.jpeg","control","Slide093.jpeg","control_tool_hand_complex","4.93","1.514","2.32","1.81","20.29","33.43","10.96","19.09","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.95","1.687","2.33","1.83","24.05","36.67","11.95","19.59","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.86","0.900","2.29","1.89"," 9.00","18.64"," 8.00","18.61","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.209","0.256","0.242","0.1750","0.606","0.2620","0.17277"
"control Slide094.jpeg","control","Slide094.jpeg","control_tool_hand_complex","5.14","1.976","2.39","2.25","10.50","21.78","11.82","21.87","0.92857","0.03571","0.00000","0.03571","-0.03571","5.00","2.121","1.95","1.66"," 6.33","15.41"," 8.10","15.68","0.95238","0.00000","0.00000","0.04762"," 0.00000","5.57","1.512","3.71","3.30","23.00","33.17","23.00","33.73","0.85714","0.14286","0.00000","0.0000","-0.14286","0.107","0.088","0.479","0.3010","0.690","0.2780","0.24061"
"control Slide095.jpeg","control","Slide095.jpeg","control_tool_hand_complex","4.85","0.770","2.81","2.00","15.81","26.56","12.11","18.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","0.894","2.85","2.01","13.10","21.88","11.85","19.77","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","23.57","38.04","12.86","17.99","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.095","0.086","0.238","0.2090","0.743","0.1360","0.51144"
"control Slide096.jpeg","control","Slide096.jpeg","control_tool_hand_complex","4.96","1.453","2.57","1.89","13.21","24.78","12.61","19.45","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.95","1.687","2.62","1.96"," 9.52","18.61","13.57","20.21","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.43","1.81","24.29","37.67"," 9.71","18.12","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.128","0.162","0.321","0.2800","0.738","0.1700","0.35192"
"control Slide097.jpeg","control","Slide097.jpeg","control_tool_hand_complex","4.64","1.521","2.11","1.73"," 6.89","15.39"," 8.61","15.55","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.81","1.537","2.05","1.72"," 8.10","17.62","10.62","17.53","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.14","1.464","2.29","1.89"," 3.29"," 3.25"," 2.57"," 2.82","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.152","0.268","0.455","0.1970","0.479","0.2770","0.24532"
"control Slide098.jpeg","control","Slide098.jpeg","control_tool_hand_complex","4.79","1.792","2.21","1.75"," 5.54","13.07"," 6.61","13.24","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.86","1.982","2.19","1.75"," 5.90","14.83"," 7.14","15.11","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","1.134","2.29","1.89"," 4.43"," 5.77"," 5.00"," 4.83","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.355","0.282","0.349","0.2480","0.578","0.2520","0.70843"
"control Slide099.jpeg","control","Slide099.jpeg","control_tool_hand_complex","4.78","1.251","2.70","2.13"," 9.93","19.89"," 9.37","17.55","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.55","1.234","2.60","2.01","12.40","22.65","11.50","19.96","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","3.00","2.58"," 2.86"," 3.39"," 3.29"," 3.68","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.202","0.253","0.337","0.2260","0.641","0.2610","0.08180"
"control Slide100.jpeg","control","Slide100.jpeg","control_tool_hand_complex","4.78","1.155","2.33","1.92"," 8.85","17.64","16.37","24.97","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.70","1.342","2.40","1.96","10.90","20.12","20.05","27.94","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.14","1.95"," 3.00"," 3.65"," 5.86"," 7.56","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.257","0.275","0.274","0.1780","0.601","0.2120","0.10720"
